,Close,FTSEMIB.MI,^DJI,^FCHI,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2022-08-08,1.0170871019363403,22728.0,32832.5390625,6524.43994140625,13687.6904296875,4140.06005859375,12644.4599609375,2.33,10.13274,0.75,8.6
2022-08-09,1.0197629928588867,22488.0,32774.41015625,6490.0,13534.9697265625,4122.47021484375,12493.9296875,2.33,10.13274,0.75,8.6
2022-08-10,1.0208144187927246,22702.0,33309.51171875,6523.43994140625,13700.9296875,4210.240234375,12854.7998046875,2.33,9.33099,0.75,8.6
2022-08-11,1.0300782918930054,22858.0,33336.671875,6544.669921875,13694.509765625,4207.27001953125,12779.91015625,2.33,9.33099,0.75,8.6
2022-08-12,1.0316723585128784,22971.0,33761.05078125,6553.85986328125,13795.849609375,4280.14990234375,13047.1904296875,2.33,9.33099,0.75,8.6
2022-08-16,1.0161981582641602,22998.0,34152.01171875,6592.580078125,13910.1201171875,4305.2001953125,13102.5498046875,2.33,9.33099,0.75,8.6
2022-08-17,1.0170663595199585,22758.0,33980.3203125,6528.31982421875,13626.7099609375,4274.0400390625,12938.1201171875,2.33,9.33099,0.75,8.6
2022-08-18,1.0180189609527588,22986.0,33999.0390625,6557.39990234375,13697.41015625,4283.740234375,12965.33984375,2.33,9.33099,0.75,8.9
2022-08-19,1.0089900493621826,22535.0,33706.73828125,6495.830078125,13544.51953125,4228.47998046875,12705.2197265625,2.33,9.33099,0.75,8.9
2022-08-22,1.0035223960876465,22166.0,33063.609375,6378.740234375,13230.5703125,4137.990234375,12381.5703125,2.33,9.33099,0.75,8.9
2022-08-23,0.9939467906951904,22380.0,32909.58984375,6362.02001953125,13194.23046875,4128.72998046875,12381.2998046875,2.33,9.33099,0.75,8.9
2022-08-24,0.9966909885406494,22431.0,32969.23046875,6386.759765625,13220.0595703125,4140.77001953125,12431.5302734375,2.33,9.33099,0.75,8.9
2022-08-25,0.9969095587730408,22454.0,33291.78125,6381.56005859375,13271.9599609375,4199.1201171875,12639.26953125,2.33,9.33099,0.75,8.9
2022-08-26,0.9971283078193665,21895.0,32283.400390625,6274.259765625,12971.4697265625,4057.659912109375,12141.7099609375,2.33,9.33099,0.75,8.9
2022-08-29,0.993867814540863,21842.0,32098.990234375,6222.27978515625,12892.990234375,4030.610107421875,12017.669921875,2.33,9.33099,0.75,8.9
2022-08-30,1.0014019012451172,21825.0,31790.869140625,6210.22021484375,12961.1396484375,3986.159912109375,11883.1396484375,2.33,9.33099,0.75,8.9
