,Close,^DJI,^GSPC,^IXIC,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2021-02-25,1.1030223369598389,31402.009765625,3829.340087890625,13119.4296875,10658.8701171875,0.07,1.21883,-0.75,-0.6
2021-02-26,1.1042768955230713,30932.369140625,3811.14990234375,13192.349609375,10522.2197265625,0.07,1.21883,-0.75,-0.6
2021-03-01,1.1020498275756836,31535.509765625,3901.820068359375,13588.830078125,10706.58984375,0.07,1.21883,-0.75,-0.6
2021-03-02,1.0930156707763672,31391.51953125,3870.2900390625,13358.7900390625,10817.150390625,0.07,1.21883,-0.75,-0.6
2021-03-04,1.087311029434204,30924.140625,3768.469970703125,12723.4697265625,10750.08984375,0.07,1.21883,-0.75,-0.4
2021-03-05,1.0761018991470337,31496.30078125,3841.93994140625,12920.150390625,10607.7900390625,0.07,1.21883,-0.75,-0.4
2021-03-08,1.0750375986099243,31802.439453125,3821.35009765625,12609.16015625,10830.3798828125,0.07,1.21883,-0.75,-0.4
2021-03-09,1.0686043500900269,31832.740234375,3875.43994140625,13073.8203125,10857.9697265625,0.07,1.21883,-0.75,-0.4
2021-03-10,1.0774236917495728,32297.01953125,3898.81005859375,13068.830078125,10909.76953125,0.07,1.57039,-0.75,-0.4
2021-03-11,1.0756157636642456,32485.58984375,3939.340087890625,13398.669921875,10883.23046875,0.07,1.57039,-0.75,-0.4
2021-03-12,1.0814785957336426,32778.640625,3943.340087890625,13319.8603515625,10839.9296875,0.07,1.57039,-0.75,-0.4
2021-03-15,1.076119303703308,32953.4609375,3968.93994140625,13459.7099609375,10867.330078125,0.07,1.57039,-0.75,-0.4
2021-03-16,1.0780508518218994,32825.94921875,3962.7099609375,13471.5703125,10944.48046875,0.07,1.57039,-0.75,-0.4
2021-03-17,1.0813149213790894,33015.37109375,3974.1201171875,13525.2001953125,10922.490234375,0.07,1.57039,-0.75,-0.4
2021-03-18,1.084316372871399,32862.30078125,3915.4599609375,13116.169921875,10973.759765625,0.07,1.57039,-0.75,-0.4
2021-03-19,1.0783764123916626,32627.970703125,3913.10009765625,13215.240234375,10967.3701171875,0.07,1.57039,-0.75,-0.4
