,Close,^DJI,^FTSE,^GSPC,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2020-03-11,1.2909722328186035,23553.220703125,5876.5,2741.3798828125,7952.0498046875,1.09,2.05094,0.25,1.8
2020-03-12,1.2818212509155271,21200.619140625,5237.5,2480.639892578125,7201.7998046875,1.1,2.05094,0.25,1.8
2020-03-13,1.257023572921753,23185.619140625,5366.10009765625,2711.02001953125,7874.8798828125,1.1,2.05094,0.25,1.8
2020-03-16,1.239987015724182,20188.51953125,5151.10009765625,2386.1298828125,6904.58984375,0.25,2.05094,0.25,1.8
2020-03-17,1.2266627550125122,21237.380859375,5294.89990234375,2529.18994140625,7334.77978515625,0.25,2.05094,0.25,1.8
2020-03-18,1.2121652364730835,19898.919921875,5080.60009765625,2398.10009765625,6989.83984375,0.25,2.05094,0.25,1.8
2020-03-19,1.1625338792800903,20087.189453125,5151.60009765625,2409.389892578125,7150.580078125,0.2,2.05094,0.1,1.8
2020-03-20,1.149438500404358,19173.98046875,5190.7998046875,2304.919921875,6879.52001953125,0.15,2.05094,0.1,1.8
2020-03-23,1.162304162979126,18591.9296875,4993.89990234375,2237.39990234375,6860.669921875,0.15,2.05094,0.1,1.8
2020-03-24,1.1595547199249268,20704.91015625,5446.0,2447.330078125,7417.85986328125,0.12,2.05094,0.1,1.8
2020-03-25,1.1792036294937134,21200.55078125,5688.2001953125,2475.56005859375,7384.2998046875,0.1,2.05094,0.1,1.7
2020-03-26,1.1851149797439575,22552.169921875,5815.7001953125,2630.070068359375,7797.5400390625,0.1,2.05094,0.1,1.7
2020-03-27,1.2200626134872437,21636.779296875,5510.2998046875,2541.469970703125,7502.3798828125,0.1,2.05094,0.1,1.7
2020-03-30,1.245319128036499,22327.48046875,5563.7001953125,2626.64990234375,7774.14990234375,0.09,2.05094,0.1,1.7
2020-03-31,1.2371643781661987,21917.16015625,5672.0,2584.590087890625,7700.10009765625,0.08,2.05094,0.1,1.7
2020-04-01,1.2408487796783447,20943.509765625,5454.60009765625,2470.5,7360.580078125,0.06,2.05094,0.1,1.7
2020-04-02,1.238236665725708,21413.439453125,5480.2001953125,2526.89990234375,7487.31005859375,0.05,2.05094,0.1,1.7
2020-04-03,1.2394952774047852,21052.529296875,5415.5,2488.64990234375,7373.080078125,0.05,2.05094,0.1,1.7
2020-04-06,1.2220158576965332,22679.990234375,5582.39990234375,2663.679931640625,7913.240234375,0.05,2.05094,0.1,1.7
2020-04-07,1.2240501642227173,22653.859375,5704.5,2659.409912109375,7887.259765625,0.05,2.05094,0.1,1.7
2020-04-08,1.2338672876358032,23433.5703125,5677.7001953125,2749.97998046875,8090.89990234375,0.05,2.05094,0.1,1.7
2020-04-09,1.23931086063385,23719.369140625,5842.7001953125,2789.820068359375,8153.580078125,0.05,2.05094,0.1,1.7
2020-04-14,1.2523951530456543,23949.759765625,5791.2998046875,2846.06005859375,8515.740234375,0.05,1.04256,0.1,1.7
2020-04-15,1.26262629032135,23504.349609375,5597.7001953125,2783.360107421875,8393.1796875,0.05,1.04256,0.1,1.7
2020-04-16,1.252097249031067,23537.6796875,5628.39990234375,2799.550048828125,8532.3603515625,0.05,1.04256,0.1,1.7
2020-04-17,1.2487823963165283,24242.490234375,5787.0,2874.56005859375,8650.1396484375,0.05,1.04256,0.1,1.7
2020-04-20,1.248751163482666,23650.439453125,5812.7998046875,2823.159912109375,8560.73046875,0.05,1.04256,0.1,1.7
2020-04-21,1.2442762851715088,23018.880859375,5641.0,2736.56005859375,8263.23046875,0.05,1.04256,0.1,1.7
2020-04-22,1.22986102104187,23475.8203125,5770.60009765625,2799.31005859375,8495.3798828125,0.05,1.04256,0.1,1.5
2020-04-23,1.232392191886902,23515.259765625,5826.60009765625,2797.800048828125,8494.75,0.04,1.04256,0.1,1.5
2020-04-24,1.235223650932312,23775.26953125,5752.2001953125,2836.739990234375,8634.51953125,0.05,1.04256,0.1,1.5
2020-04-27,1.2366595268249512,24133.779296875,5846.7998046875,2878.47998046875,8730.16015625,0.04,1.04256,0.1,1.5
2020-04-28,1.2422668933868408,24101.55078125,5958.5,2863.389892578125,8607.73046875,0.04,1.04256,0.1,1.5
2020-04-29,1.2435646057128906,24633.859375,6115.2998046875,2939.510009765625,8914.7099609375,0.04,1.04256,0.1,1.5
2020-04-30,1.2471472024917605,24345.720703125,5901.2001953125,2912.429931640625,8889.5498046875,0.05,1.04256,0.1,1.5
2020-05-01,1.2581465244293213,23723.689453125,5763.10009765625,2830.7099609375,8604.9501953125,0.05,1.04256,0.1,1.5
2020-05-04,1.2454230785369873,23749.759765625,5753.7998046875,2842.739990234375,8710.7099609375,0.05,1.04256,0.1,1.5
2020-05-05,1.244555115699768,23883.08984375,5849.39990234375,2868.43994140625,8809.1201171875,0.05,1.04256,0.1,1.5
2020-05-06,1.244420289993286,23664.640625,5853.7998046875,2848.419921875,8854.3896484375,0.05,1.04256,0.1,1.5
2020-05-07,1.232559323310852,23875.890625,5936.0,2881.18994140625,8979.66015625,0.05,1.04256,0.1,1.5
2020-05-11,1.2417423725128174,24221.990234375,5939.7001953125,2930.18994140625,9192.33984375,0.05,1.04256,0.1,1.5
2020-05-12,1.2333498001098633,23764.779296875,5994.7998046875,2870.1201171875,9002.5498046875,0.05,-0.47108,0.1,1.5
2020-05-13,1.2254902124404907,23247.970703125,5904.10009765625,2820.0,8863.169921875,0.05,-0.47108,0.1,1.5
2020-05-14,1.224155068397522,23625.33984375,5741.5,2852.5,8943.7197265625,0.05,-0.47108,0.1,1.5
2020-05-15,1.22339129447937,23685.419921875,5799.7998046875,2863.699951171875,9014.5595703125,0.05,-0.47108,0.1,1.5
2020-05-18,1.2085760831832886,24597.369140625,6048.60009765625,2953.909912109375,9234.830078125,0.05,-0.47108,0.1,1.5
2020-05-19,1.2200031280517578,24206.859375,6002.2001953125,2922.93994140625,9185.099609375,0.05,-0.47108,0.1,1.5
2020-05-20,1.2255953550338743,24575.900390625,6067.2001953125,2971.610107421875,9375.7802734375,0.05,-0.47108,0.1,0.9
2020-05-21,1.223690629005432,24474.119140625,6015.2998046875,2948.510009765625,9284.8798828125,0.05,-0.47108,0.1,0.9
2020-05-22,1.2223445177078247,24465.16015625,5993.2998046875,2955.449951171875,9324.58984375,0.05,-0.47108,0.1,0.9
2020-05-26,1.220137119293213,24995.109375,6067.7998046875,2991.77001953125,9340.2197265625,0.05,-0.47108,0.1,0.9
2020-05-27,1.23350191116333,25548.26953125,6144.2998046875,3036.1298828125,9412.3603515625,0.05,-0.47108,0.1,0.9
2020-05-28,1.2264822721481323,25400.640625,6218.7998046875,3029.72998046875,9368.990234375,0.05,-0.47108,0.1,0.9
2020-05-29,1.2321492433547974,25383.109375,6076.60009765625,3044.31005859375,9489.8701171875,0.05,-0.47108,0.1,0.9
2020-06-01,1.23479962348938,25475.01953125,6166.39990234375,3055.72998046875,9552.0498046875,0.05,-0.47108,0.1,0.9
2020-06-02,1.248704433441162,25742.650390625,6220.10009765625,3080.820068359375,9608.3798828125,0.06,-0.47108,0.1,0.9
2020-06-03,1.2581465244293213,26269.890625,6382.39990234375,3122.8701171875,9682.91015625,0.06,-0.47108,0.1,0.9
2020-06-04,1.2575136423110962,26281.8203125,6341.39990234375,3112.35009765625,9615.8095703125,0.06,-0.47108,0.1,0.9
2020-06-05,1.2609069347381592,27110.98046875,6484.2998046875,3193.929931640625,9814.080078125,0.07,-0.47108,0.1,0.9
2020-06-08,1.2725722789764404,27572.439453125,6472.60009765625,3232.389892578125,9924.75,0.07,-0.47108,0.1,0.9
2020-06-09,1.2735283374786377,27272.30078125,6335.7001953125,3207.179931640625,9953.75,0.07,-0.47108,0.1,0.9
2020-06-10,1.2711325883865356,26989.990234375,6329.10009765625,3190.139892578125,10020.349609375,0.08,-0.74276,0.1,0.9
2020-06-11,1.2710679769515991,25128.169921875,6076.7001953125,3002.10009765625,9492.73046875,0.08,-0.74276,0.1,0.9
2020-06-12,1.257703423500061,25605.5390625,6105.2001953125,3041.31005859375,9588.8095703125,0.08,-0.74276,0.1,0.9
2020-06-15,1.2508755922317505,25763.16015625,6064.7001953125,3066.590087890625,9726.01953125,0.09,-0.74276,0.1,0.9
2020-06-16,1.2637752294540403,26289.98046875,6242.7998046875,3124.739990234375,9895.8701171875,0.09,-0.74276,0.1,0.9
2020-06-17,1.258510708808899,26119.609375,6253.2998046875,3113.489990234375,9910.5302734375,0.09,-0.74276,0.1,0.7
2020-06-18,1.2552721500396729,26080.099609375,6224.10009765625,3115.340087890625,9943.0498046875,0.09,-0.74276,0.1,0.7
2020-06-19,1.2426837682724,25871.4609375,6292.60009765625,3097.739990234375,9946.1201171875,0.09,-0.74276,0.1,0.7
2020-06-22,1.234811782836914,26024.9609375,6244.60009765625,3117.860107421875,10056.48046875,0.08,-0.74276,0.1,0.7
2020-06-23,1.250156283378601,26156.099609375,6320.10009765625,3131.2900390625,10131.3701171875,0.08,-0.74276,0.1,0.7
2020-06-24,1.2524893283843994,25445.939453125,6123.7001953125,3050.330078125,9909.169921875,0.08,-0.74276,0.1,0.7
