,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1023,100,32,0.001,32,64,tanh,relu,6.36004261383632e-06,0.0025219124913121627,0.002193069339762517
399,50,32,0.01,64,64,sigmoid,relu,6.376252539900388e-06,0.0025251242622691635,0.00216844748680634
1003,100,32,0.001,32,16,sigmoid,sigmoid,6.377709768614178e-06,0.002525412791726172,0.0020883253331487038
1053,100,32,0.01,16,16,relu,relu,6.40088843130686e-06,0.0025299977136959747,0.0019720953270021256
79,50,16,0.001,64,64,tanh,sigmoid,6.410472412615617e-06,0.0025318910743978734,0.0021200289680778166
771,100,16,0.001,32,32,tanh,relu,6.419849571169593e-06,0.002533742206928241,0.0020489821385194797
143,50,16,0.01,64,16,tanh,tanh,6.479318692800663e-06,0.0025454505873814684,0.0022880088052474783
741,100,16,0.001,16,32,sigmoid,relu,6.4852581296302014e-06,0.002546616997043372,0.0020989162570181907
385,50,32,0.01,64,16,tanh,sigmoid,6.4857610608112666e-06,0.002546715740087862,0.002156866037596234
765,100,16,0.001,32,32,relu,relu,6.490169507268383e-06,0.0025475811090656924,0.0020656401457616676
1011,100,32,0.001,32,32,sigmoid,relu,6.490306667651307e-06,0.0025476080286518385,0.0020414393875198156
158,50,16,0.01,64,64,sigmoid,tanh,6.519822282439889e-06,0.0025533942669395747,0.002167619321338108
1040,100,32,0.001,64,32,sigmoid,tanh,6.564850291401578e-06,0.0025621963803349615,0.002216006466876711
976,100,32,0.001,16,16,sigmoid,sigmoid,6.588855206157574e-06,0.0025668765467309826,0.0020745811579096084
730,100,16,0.001,16,16,relu,sigmoid,6.609520954236797e-06,0.002570898861145027,0.001824517576453483
790,100,16,0.001,64,16,tanh,sigmoid,6.616568997025846e-06,0.0025722692310537493,0.0022012644217898492
1307,100,64,0.01,16,32,relu,tanh,6.624014306481322e-06,0.0025737160500881448,0.0020962412660740382
1294,100,64,0.001,64,64,tanh,sigmoid,6.6293794321532345e-06,0.002574758130806316,0.0021385205864661305
1367,100,64,0.01,64,32,tanh,tanh,6.6404248709182885e-06,0.0025769021849729352,0.0021494024279982826
808,100,16,0.001,64,64,tanh,sigmoid,6.652759185354682e-06,0.00257929431925763,0.002081318817916202
979,100,32,0.001,16,16,tanh,sigmoid,6.662464005887608e-06,0.002581174927409533,0.0020236094109122955
881,100,16,0.01,64,32,tanh,tanh,6.664448340076366e-06,0.002581559284633294,0.0022232102862211984
1315,100,64,0.01,16,64,relu,sigmoid,6.698705320203897e-06,0.0025881857198052647,0.0020784600986320585
1277,100,64,0.001,64,16,tanh,tanh,6.706938823470093e-06,0.002589775824945104,0.0021872074399436154
351,50,32,0.01,32,16,relu,relu,6.707962352576996e-06,0.002589973427002099,0.0021412996727870363
642,50,64,0.01,64,64,sigmoid,relu,6.737373684106822e-06,0.002595645138324348,0.002168224202223208
993,100,32,0.001,16,64,sigmoid,relu,6.748965548569998e-06,0.0025978771234548407,0.002065517428878616
802,100,16,0.001,64,64,relu,sigmoid,6.774010565014373e-06,0.0026026929448197253,0.0021649625760002374
948,100,16,0.1,64,16,sigmoid,relu,6.775719636657446e-06,0.002603021251672265,0.002061286472290405
973,100,32,0.001,16,16,relu,sigmoid,6.776782914039292e-06,0.0026032254827500615,0.001993618260592334
189,50,16,0.1,32,16,relu,relu,6.80737042201345e-06,0.0026090937932572392,0.0021277215875046274
38,50,16,0.001,32,32,relu,tanh,6.8275642555207865e-06,0.0026129608216582173,0.002267500512426847
613,50,64,0.01,32,64,relu,sigmoid,6.858582157888592e-06,0.0026188894894379547,0.0022459305045940668
34,50,16,0.001,32,16,tanh,sigmoid,6.870303938281651e-06,0.0026211264636185816,0.0021590411972396803
1104,100,32,0.01,32,64,tanh,relu,6.88409221027674e-06,0.0026237553640301036,0.0023666593538893264
64,50,16,0.001,64,32,relu,sigmoid,6.884525343808319e-06,0.0026238379034933387,0.0022236192220172453
1368,100,64,0.01,64,64,relu,relu,6.935306849770963e-06,0.0026334970760893135,0.0021614536365113716
1019,100,32,0.001,32,64,relu,tanh,6.935883639192316e-06,0.0026336065839818058,0.00208562550389102
1350,100,64,0.01,64,16,relu,relu,6.946823079616725e-06,0.0026356826591258527,0.00209625294788852
1443,100,64,0.1,64,32,sigmoid,relu,7.0269419404339076e-06,0.002650837969479445,0.0023417644674345282
606,50,64,0.01,32,32,sigmoid,relu,7.046299023555859e-06,0.0026544865837965464,0.002107685974440607
379,50,32,0.01,64,16,relu,sigmoid,7.081269911330885e-06,0.0026610655593823475,0.002307219231127678
591,50,64,0.01,16,64,tanh,relu,7.083150940908099e-06,0.0026614189713211446,0.0020573898064384847
1042,100,32,0.001,64,32,tanh,sigmoid,7.102766550629931e-06,0.002665101602308987,0.002275322267951569
388,50,32,0.01,64,32,relu,sigmoid,7.1133672754679064e-06,0.0026670896639348117,0.002213671694322222
1107,100,32,0.01,64,16,relu,relu,7.154727756069663e-06,0.0026748322855965497,0.002168217522769889
997,100,32,0.001,16,64,tanh,sigmoid,7.156399214441723e-06,0.002675144709065609,0.002066526575725485
906,100,16,0.1,16,32,tanh,relu,7.169745201075597e-06,0.002677637989175459,0.002269064111731826
1295,100,64,0.001,64,64,tanh,tanh,7.187746192619003e-06,0.002680997238457922,0.0021832582926726006
989,100,32,0.001,16,32,tanh,tanh,7.196615638123775e-06,0.0026826508602730576,0.0022440801080683814
1347,100,64,0.01,32,64,tanh,relu,7.2090993435212785e-06,0.0026849766001813273,0.002127349620024998
1375,100,64,0.01,64,64,tanh,sigmoid,7.221157719941188e-06,0.002687221189247582,0.0022549046826856323
894,100,16,0.1,16,16,sigmoid,relu,7.223155540766224e-06,0.0026875928897000423,0.0023615061267207656
940,100,16,0.1,32,64,sigmoid,sigmoid,7.227537514869218e-06,0.002688407988916343,0.00212816144830221
127,50,16,0.01,32,64,relu,sigmoid,7.2285561968635e-06,0.0026885974404628706,0.002354570396344482
1005,100,32,0.001,32,16,tanh,relu,7.240737417885949e-06,0.0026908618355251813,0.002267767892968168
639,50,64,0.01,64,64,relu,relu,7.271309555886252e-06,0.002696536585304611,0.0022982525999508674
1255,100,64,0.001,32,32,sigmoid,sigmoid,7.283047262528734e-06,0.0026987121488830064,0.0022129205594328236
1306,100,64,0.01,16,32,relu,sigmoid,7.286068399351825e-06,0.0026992718276142224,0.0024000963937068002
125,50,16,0.01,32,32,tanh,tanh,7.28741241526691e-06,0.00269952077511304,0.002100107079212869
772,100,16,0.001,32,32,tanh,sigmoid,7.309773795705847e-06,0.0027036593342553063,0.002303034683728278
268,50,32,0.001,16,64,tanh,sigmoid,7.358843401574893e-06,0.0027127188209571025,0.0020899346476733606
994,100,32,0.001,16,64,sigmoid,sigmoid,7.363786251861972e-06,0.002713629719004045,0.002272842484754234
1134,100,32,0.1,16,16,relu,relu,7.395707123138833e-06,0.002719504940818978,0.0022265086494375292
