,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1239,100,64,0.001,16,64,tanh,relu,2.0178634664291017e-05,0.004492063519618909,0.0038332999888853604
493,50,64,0.001,16,16,tanh,sigmoid,2.0201391767434678e-05,0.004494595840276929,0.004039529440920651
1227,100,64,0.001,16,32,sigmoid,relu,2.0236177944945167e-05,0.004498463953945298,0.0040787826942527885
548,50,64,0.001,64,16,tanh,tanh,2.0251763020116054e-05,0.004500195886860488,0.004004253512899719
258,50,32,0.001,16,32,tanh,relu,2.0367883672873834e-05,0.004513079178662151,0.0040548387046069456
207,50,16,0.1,32,64,relu,relu,2.040945120449253e-05,0.004517682061023389,0.003946500009937653
524,50,64,0.001,32,32,relu,tanh,2.048439183520042e-05,0.004525968607403328,0.004055094244299183
1257,100,64,0.001,32,32,tanh,relu,2.0561327321737916e-05,0.004534459981269866,0.004017394209649778
566,50,64,0.001,64,64,tanh,tanh,2.0693972261738167e-05,0.004549062789381805,0.004082901010968748
291,50,32,0.001,32,64,sigmoid,relu,2.0699341854273892e-05,0.004549652937782605,0.004140188195558358
